scenario_id,parking_id,lot_name,locality_name,demand_score,revenue_score,competition_score,strategic_fit_score,feasibility_score,attractiveness_score,acquisition_score,expected_monthly_platform_revenue_inr,adjusted_onboarding_cost_inr,segment_code,rank_overall,base_rank,rank_change_vs_base,score_change_vs_base
1,52,MCD Parking,Lajpat Nagar,81.91400215185098,86.48257295479064,56.62981459994283,82.66676549587018,74.72827985670894,78.92862458661754,78.29857287713125,181556.3856748798,82000.0,ACQUIRE_NOW,1,1,0,0.0
1,18,OSM Parking node-786590777,Nehru Place,83.90716413798003,100.0,34.07190525391261,74.58768499336001,66.18293051359517,78.201279739394,76.39852735552418,316883.7957659745,126500.0,ACQUIRE_NOW,2,2,0,0.0
1,1,OSM Parking node-928559154,Connaught Place,87.6022292064125,100.0,28.01778309409893,62.87070786512365,71.1426197378961,76.36934400683192,75.58533536649155,234519.90329243283,91500.0,ACQUIRE_NOW,3,3,0,0.0
1,17,OSM Parking way-1265773838,Nehru Place,76.44915879637628,87.58029690123006,32.27897596098332,72.30151038624352,88.0234572017582,71.19634684271108,73.72041339656815,139122.93178494094,67500.0,ACQUIRE_NOW,4,4,0,0.0
1,6,OSM Parking node-928558934,Connaught Place,83.67415560065014,100.0,17.59272727272732,61.80513866298516,77.88515327345254,72.95520773006106,73.69469956156979,433614.4575657261,74500.0,ACQUIRE_NOW,5,5,0,0.0
1,51,OSM Parking way-1384231629,Lajpat Nagar,81.4210944538978,45.81112619712815,88.87147265290734,70.93730452378318,87.70854330244416,70.41226642582936,73.00670795732158,25313.81410698316,83000.0,ACQUIRE_NOW,6,6,0,0.0
1,41,OSM Parking way-1386106209,Karol Bagh,67.39266635560617,91.21914592782628,51.497771538194435,54.36605991934002,80.75025628931456,69.29666012619833,71.01469955066577,220387.98157561605,134000.0,ACQUIRE_NOW,7,7,0,0.0
1,3,Palika Parking,Connaught Place,78.02095273354942,83.38445672630186,24.088405797101448,62.8740276089353,84.3985868102288,67.40795883828919,69.95655303408013,86502.49574398641,42500.0,ACQUIRE_NOW,8,8,0,0.0
1,8,OSM Parking node-5634145022,Connaught Place,74.9933366812722,91.63909450855954,25.96424242424247,62.020112208047934,64.51906535519836,68.94756214866483,68.28328762964486,137873.33212430988,56500.0,ACQUIRE_NOW,9,9,0,0.0
1,13,OSM Parking way-1298783157,Nehru Place,68.80186296150517,91.4900410356602,21.37887495088231,68.57702341312249,70.23145267206922,67.06641635525567,67.5411718027777,285442.06833523687,92000.0,ACQUIRE_NOW,10,10,0,0.0
1,16,OSM Parking way-1265773840,Nehru Place,73.36267224708465,80.57166224945628,30.06455928808151,71.72260840059158,63.663853569874725,67.55269692916521,66.96937042527163,124440.42510630476,131000.0,ACQUIRE_NOW,11,11,0,0.0
1,21,OSM Parking way-1426212235,Nehru Place,67.34304679112077,90.50425450611614,26.41112439882522,56.14644313165036,78.12427441620278,64.95601505110189,66.93125395586702,264785.1162113236,124500.0,ACQUIRE_NOW,12,12,0,0.0
1,15,Eros,Nehru Place,70.82627236247953,85.8083951709644,28.955238587245947,71.01710969630943,59.720197980750854,67.87745028708031,66.65386244113088,193956.29220412657,116000.0,ACQUIRE_NOW,13,13,0,0.0
1,19,Metro Station Parking,Nehru Place,71.57963704087973,83.83689945480735,32.25334662104744,72.34747552739961,54.16586021396071,68.38028152733273,66.24811833032692,125634.70087570108,112000.0,PURSUE,14,14,0,0.0
1,55,OSM Parking way-1270655678,Lajpat Nagar,81.4428900553814,60.93600304732823,50.42611089623913,77.96635650337944,48.18893967056068,69.32439751575207,66.15407883897336,66077.76045629973,146500.0,PURSUE,15,15,0,0.0
1,46,OSM Parking way-80414532,Karol Bagh,73.34336231043629,66.05070904288549,53.509676300099194,56.80454263565519,71.41597683108814,64.77978681672401,65.77521531887864,85451.00422336349,148000.0,ACQUIRE_NOW,16,16,0,0.0
1,22,Lotus Temple Parking,Nehru Place,61.85590767747229,89.44524978451253,46.48204131829587,59.48366683043432,57.808329707684614,66.83875408432864,65.48419042783203,202491.21459961584,78000.0,ACQUIRE_NOW,17,17,0,0.0
1,7,OSM Parking way-1237304338,Connaught Place,74.62298693517744,81.78076318837473,21.799076479076525,55.14158020008884,61.3,63.96845338767262,63.56818537952172,79012.65418334173,33000.0,ACQUIRE_NOW,18,18,0,0.0
1,43,OSM Parking way-1386957470,Karol Bagh,70.59934188555627,62.728659918897634,57.869676300099194,61.46122511876633,50.14611520210789,64.4254150096719,62.28352003853729,67391.79808474384,91000.0,PURSUE,19,19,0,0.0
1,12,OSM Parking way-454517227,Nehru Place,77.92370930311955,61.60895283653291,34.84624091824828,62.26608887182572,59.31684300195582,62.760235845388465,62.24372691887356,53571.65638602931,65000.0,ACQUIRE_NOW,20,20,0,0.0
1,2,OSM Parking node-928559077,Connaught Place,62.22919402828535,82.43731184478648,19.733908660910732,67.05174913398554,63.33002850369816,61.5246292222549,61.79543911447139,173865.47424258152,108000.0,ACQUIRE_NOW,21,21,0,0.0
1,4,OSM Parking way-1306327527,Connaught Place,72.22443068411252,84.90680011836301,20.29421678416003,58.59294983570482,45.0845707977376,64.3848285032991,61.48978984746488,94507.31471581737,77500.0,PURSUE,22,22,0,0.0
1,14,OSM Parking way-1265773839,Nehru Place,63.79760397381464,69.98611035273552,30.027522251044473,69.65785804330568,62.06638982975038,60.69248920527153,60.89857429894335,95893.56018260412,137000.0,ACQUIRE_NOW,23,23,0,0.0
